"","x"
"1","rape"
"2","wrong"
"3","fired"
"4","fired"
"5","support"
"6","worry"
"7","terrible"
"8","shame"
"9","upset"
"10","lack"
"11","torture"
"12","capable"
"13","fraudulent"
"14","dumb"
"15","fuck"
"16","upset"
"17","guilty"
"18","pissed"
"19","cut"
"20","justice"
"21","nice"
"22","unconfirmed"
"23","rape"
"24","love"
"25","bullshit"
"26","likes"
"27","likes"
"28","true"
"29","outstanding"
"30","wow"
"31","bother"
"32","charged"
"33","rape"
"34","miss"
"35","pretty"
"36","sad"
"37","lost"
"38","fan"
"39","love"
"40","shit"
"41","love"
"42","miss"
"43","fuck"
"44","dirt"
"45","smart"
"46","miss"
"47","favorite"
"48","saddened"
"49","fake"
"50","scandal"
"51","destroy"
"52","amazing"
"53","admired"
"54","admire"
"55","strong"
"56","masterpiece"
"57","shit"
"58","cancel"
"59","bullshit"
"60","thrilled"
"61","rape"
"62","charges"
"63","tired"
"64","committed"
"65","fired"
"66","criminal"
"67","killed"
"68","love"
"69","conspiracy"
"70","thrilled"
"71","mad"
"72","gross"
"73","perfect"
"74","funny"
"75","pay"
"76","sick"
"77","disgusting"
"78","hope"
"79","complain"
"80","complain"
"81","bad"
"82","god"
"83","axe"
"84","free"
"85","rape"
"86","arrogant"
"87","lol"
"88","excited"
"89","sad"
"90","sad"
"91","miss"
"92","weird"
"93","weird"
"94","weird"
"95","love"
"96","fuck"
"97","dead"
"98","lol"
"99","strong"
"100","enjoying"
"101","sad"
"102","true"
"103","stupid"
"104","amazing"
"105","accept"
"106","accept"
"107","sad"
"108","excellent"
"109","excellent"
"110","liar"
"111","empty"
"112","suck"
"113","lol"
"114","rapist"
"115","wow"
"116","dickhead"
"117","ruined"
"118","favorite"
"119","prominent"
"120","tragedy"
"121","victims"
"122","admired"
"123","fuck"
"124","ruining"
"125","dick"
"126","top"
"127","fuck"
"128","ruining"
"129","success"
"130","accusing"
"131","love"
"132","sucks"
"133","evil"
"134","missed"
"135","horrible"
"136","rape"
"137","rape"
"138","matter"
"139","disgusting"
"140","agree"
"141","suspects"
"142","ruined"
"143","cool"
"144","miss"
"145","fantastic"
"146","favorite"
"147","forget"
"148","hope"
"149","hope"
"150","love"
"151","crime"
"152","idiot"
"153","shame"
"154","super"
"155","confused"
"156","fired"
"157","accusations"
"158","suspects"
"159","suspended"
"160","accused"
"161","accused"
"162","pretty"
"163","bad"
"164","mistake"
"165","easy"
"166","bad"
"167","rape"
"168","rape"
"169","pretty"
"170","bad"
"171","pissed"
"172","accuse"
"173","suspects"
"174","ruined"
"175","disgrace"
"176","deafening"
"177","glad"
"178","bad"
"179","faith"
"180","ass"
"181","kill"
"182","crime"
"183","damn"
"184","ruined"
"185","disgusted"
"186","enjoy"
"187","leak"
"188","pay"
"189","favorite"
"190","justice"
"191","hate"
"192","brave"
"193","humiliated"
"194","agree"
"195","wtf"
"196","dick"
"197","weird"
"198","annoyed"
"199","matter"
"200","hope"
"201","entertaining"
"202","disgusting"
"203","cancelled"
"204","care"
"205","forgive"
"206","luck"
"207","won"
"208","motherfucker"
"209","cancelling"
"210","suffering"
"211","strange"
"212","feeling"
"213","suspects"
"214","scandal"
"215","pity"
"216","sad"
"217","awesome"
"218","matter"
"219","awful"
"220","embarrassing"
"221","ass"
"222","severe"
"223","love"
"224","hating"
"225","true"
"226","boycotting"
"227","bad"
"228","care"
"229","care"
"230","solid"
"231","tits"
"232","disaster"
"233","waste"
"234","rape"
"235","honoring"
"236","bad"
"237","ruined"
"238","perfect"
"239","exaggerated"
"240","accusations"
"241","glad"
"242","sick"
"243","ass"
"244","suspects"
"245","ruined"
"246","cool"
"247","guilty"
"248","yeah"
"249","sexy"
"250","sad"
"251","hell"
"252","die"
"253","save"
"254","cancel"
"255","nice"
"256","huge"
"257","fan"
"258","wow"
"259","hero"
"260","disgusting"
"261","cutting"
"262","weak"
"263","love"
"264","fired"
"265","stop"
"266","vicious"
"267","abused"
"268","denounce"
"269","cutting"
"270","suck"
"271","lmao"
"272","ruin"
"273","asshole"
"274","crazy"
"275","abuse"
"276","wrong"
"277","wrong"
"278","fan"
"279","damn"
"280","kill"
"281","agree"
"282","awesome"
"283","fantastic"
"284","dire"
"285","happy"
"286","suspend"
"287","chance"
"288","happy"
"289","true"
"290","exasperated"
"291","admits"
"292","worth"
"293","bad"
"294","rape"
"295","happy"
"296","killing"
"297","ridiculous"
"298","waste"
"299","sad"
"300","dedicated"
"301","glad"
"302","endorsed"
"303","funny"
"304","exposed"
"305","denying"
"306","mess"
"307","disappointed"
"308","annoyed"
"309","miss"
"310","matter"
"311","love"
"312","happy"
"313","bitch"
"314","god"
"315","proud"
"316","worse"
"317","mistakes"
"318","brilliant"
"319","hope"
"320","fail"
"321","miss"
"322","die"
"323","ridiculous"
"324","sad"
"325","excited"
"326","fuck"
"327","damn"
"328","rape"
"329","biased"
"330","honest"
"331","hard"
"332","fuck"
"333","shit"
"334","pay"
"335","curious"
"336","apology"
"337","ass"
"338","fuck"
"339","crap"
"340","glad"
"341","glad"
"342","glad"
"343","killed"
"344","trust"
"345","ridiculous"
"346","lol"
"347","fucked"
"348","disgrace"
"349","hope"
"350","hope"
"351","love"
"352","bullshit"
"353","scandal"
"354","accusations"
"355","glad"
"356","shame"
"357","missing"
"358","lol"
"359","guilty"
"360","care"
"361","win"
"362","trust"
"363","pray"
"364","stop"
"365","lied"
"366","wrong"
"367","lmao"
"368","blamed"
"369","blamed"
"370","poor"
"371","insane"
"372","guilty"
"373","jesus"
"374","hope"
"375","rich"
"376","blame"
"377","sick"
"378","suspect"
"379","strong"
"380","fuck"
"381","love"
"382","poor"
"383","favorite"
"384","bright"
"385","evil"
"386","love"
"387","violate"
"388","huge"
"389","fan"
"390","awesome"
"391","strong"
"392","support"
"393","shit"
"394","amazing"
"395","loved"
"396","horrible"
"397","happy"
"398","apologize"
"399","screaming"
"400","pretty"
"401","integrity"
"402","join"
"403","jesus"
"404","fuck"
"405","jesus"
"406","shit"
"407","shit"
"408","idiot"
"409","favorite"
"410","love"
"411","outrage"
"412","entertaining"
"413","crazy"
"414","admitted"
"415","sad"
"416","injustice"
"417","laugh"
"418","careful"
"419","rape"
"420","fuck"
"421","glad"
"422","fired"
"423","sick"
"424","fuck"
"425","guilty"
"426","hope"
"427","worth"
"428","free"
"429","strong"
"430","loving"
"431","worse"
"432","fun"
"433","ruin"
"434","vile"
"435","ruining"
"436","favorite"
"437","worry"
"438","liar"
"439","worse"
"440","ugly"
"441","wow"
"442","ghost"
"443","love"
"444","horrible"
"445","laugh"
"446","pay"
"447","hell"
"448","wow"
"449","nasty"
"450","cut"
"451","huge"
"452","fan"
"453","hiding"
"454","blaming"
"455","ruining"
"456","weird"
"457","shit"
"458","lol"
"459","twat"
"460","negativity"
"461","happy"
"462","shit"
"463","accuse"
"464","disgusting"
"465","bullshit"
"466","upset"
"467","rejected"
"468","sadly"
"469","accuse"
"470","exposed"
"471","fuck"
"472","shit"
"473","fuck"
"474","blamed"
"475","racist"
"476","appalled"
"477","scandal"
"478","pretty"
"479","hysteria"
"480","glad"
"481","free"
"482","admitted"
"483","crime"
"484","evil"
"485","bitch"
"486","hell"
"487","damn"
"488","drunk"
"489","excuse"
"490","criminal"
"491","dear"
"492","blaming"
"493","fan"
"494","kill"
"495","bad"
"496","disappointed"
"497","disgusted"
"498","admired"
"499","glad"
"500","courage"
"501","stop"
"502","supporting"
"503","fucking"
"504","lied"
"505","aggressive"
"506","fucking"
"507","sad"
"508","cut"
"509","forget"
"510","miss"
"511","blocked"
"512","fascinating"
"513","perfect"
"514","victim"
"515","trust"
"516","rape"
"517","stop"
"518","victim"
"519","blaming"
"520","bad"
"521","careful"
"522","alive"
"523","dead"
"524","devastated"
"525","nasty"
"526","ass"
"527","stop"
"528","fuck"
"529","difficult"
"530","ignore"
"531","blame"
"532","responsible"
"533","disgusting"
"534","prison"
"535","attacking"
"536","blame"
"537","destroy"
"538","destroy"
"539","nice"
"540","fuck"
"541","happy"
"542","beautiful"
"543","destroy"
"544","destroy"
"545","enjoying"
"546","hope"
"547","violate"
"548","illness"
"549","stop"
"550","block"
"551","killed"
"552","boring"
"553","ridiculous"
"554","persecute"
"555","unfair"
"556","denounce"
"557","hiding"
"558","scandal"
"559","ridiculous"
"560","support"
"561","accused"
"562","join"
"563","lowest"
"564","wrong"
"565","shit"
"566","sad"
"567","victim"
"568","ass"
"569","fuck"
"570","care"
"571","joy"
"572","care"
"573","care"
"574","favorite"
"575","blamed"
"576","promoting"
"577","yeah"
"578","hell"
"579","favorite"
"580","care"
"581","true"
"582","inspiring"
"583","love"
"584","jerk"
"585","loved"
"586","brave"
"587","fuck"
"588","fucking"
"589","troubles"
"590","kill"
"591","killed"
"592","victims"
"593","resigned"
"594","blame"
"595","stopped"
"596","awards"
"597","lol"
"598","blocked"
"599","love"
"600","support"
"601","lack"
"602","killed"
"603","prison"
"604","love"
"605","pretty"
"606","worried"
"607","lmao"
"608","shares"
"609","nasty"
"610","blaming"
"611","victim"
"612","wrong"
"613","hate"
"614","derision"
"615","suspect"
"616","verdict"
"617","hate"
"618","hope"
"619","attacking"
"620","blame"
"621","fair"
"622","supporting"
"623","scared"
"624","disappointed"
"625","miss"
"626","stop"
"627","straight"
"628","free"
"629","commit"
"630","crime"
"631","worst"
"632","blocked"
"633","hard"
"634","hero"
"635","amazing"
"636","love"
"637","wishes"
"638","sick"
"639","trust"
"640","unbelievable"
"641","liar"
"642","admitted"
"643","importance"
"644","fair"
"645","abused"
"646","damage"
"647","wow"
"648","horrible"
"649","pretty"
"650","strong"
"651","wow"
"652","secured"
"653","enjoy"
"654","responsible"
"655","killed"
"656","wrong"
"657","blame"
"658","victims"
"659","evil"
"660","evil"
"661","ruined"
"662","ruined"
"663","shit"
"664","blaming"
"665","blaming"
"666","blame"
"667","shame"
"668","responsible"
"669","banned"
"670","fake"
"671","ruined"
"672","fine"
"673","ruined"
"674","agree"
"675","crime"
"676","dirty"
"677","victims"
"678","nice"
"679","honest"
"680","fit"
"681","crime"
"682","victim"
"683","jesus"
"684","fucking"
"685","moron"
"686","fucking"
"687","stop"
