"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@KevinSpacey it doesn't count as rape if you have a small penis",FALSE,0,"KevinSpacey",2017-12-05 17:02:02,FALSE,NA,"938091104657920000","27457788","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leaffblower",0,FALSE,FALSE,NA,NA
"2","@KevinSpacey Maybe the wrong time to come out?",FALSE,0,"KevinSpacey",2017-12-05 16:55:20,FALSE,"924848412842971136","938089418174451712","27457788","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mghanayem",0,FALSE,FALSE,NA,NA
"3","@netflix Thank You for fired @dannymasterson. You fired Kevin Spacey why not Danny. But don't except my support for… https://t.co/ri96a3rxxM",FALSE,1,"netflix",2017-12-05 16:47:20,TRUE,"938071164299067392","938087402165456897","16573941","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elizaga12",0,FALSE,FALSE,NA,NA
"4","@Gizmodo Don't worry @KevinSpacey, Twitter will make an exception for you.",FALSE,0,"Gizmodo",2017-12-05 16:38:17,FALSE,"938082129090576385","938085127464374275","2890961","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kehvan420",1,FALSE,FALSE,NA,NA
"5","@BreitbartNews Smdh.. @KevinSpacey has a legitimate medical issue.  It come with pills and everything!  #freespacey",FALSE,0,"BreitbartNews",2017-12-05 16:29:40,FALSE,"937860888069107712","938082957843197952","457984599","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moneybankson",0,FALSE,FALSE,NA,NA
"6","@natalie_jpf @KevinSpacey Mr. Vali?",FALSE,1,"natalie_jpf",2017-12-05 16:24:07,FALSE,"938078630705590272","938081562012372993","716219676628492288","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JaackNz",0,FALSE,FALSE,NA,NA
"7","@BilackMamba @NetflixIndia @HouseofCards @KevinSpacey @netflix The guy has serious allegations against him!",FALSE,0,"BilackMamba",2017-12-05 16:21:21,FALSE,"938077552710623232","938080866516975616","256223341","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HarshitRathi_",0,FALSE,FALSE,NA,NA
"8","@KevinSpacey  years ago I got a pic of you and Leary signed from The Ref . Terrible times recently and had to sell… https://t.co/w8vEev13Op",FALSE,0,"KevinSpacey",2017-12-05 16:15:27,TRUE,NA,"938079380596776964","27457788","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","THEMikeTapp",0,FALSE,FALSE,NA,NA
"9","@JaackNz @KevinSpacey Possibly",FALSE,0,"JaackNz",2017-12-05 16:12:28,FALSE,"938077531382730754","938078630705590272","858947023311179776","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","natalie_jpf",0,FALSE,FALSE,NA,NA
"10","@NetflixIndia What a shame that your team is filming @HouseofCards without the legend @KevinSpacey...  It is  like… https://t.co/8o4BlirUTg",FALSE,1,"NetflixIndia",2017-12-05 16:08:11,TRUE,NA,"938077552710623232","4502936240","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BilackMamba",0,FALSE,FALSE,NA,NA
