"","x"
"1","@KevinSpacey it doesn't count as rape if you have a small penis"
"2","@KevinSpacey Maybe the wrong time to come out?"
"3","@netflix Thank You for fired @dannymasterson. You fired Kevin Spacey why not Danny. But don't except my support for‚Ä¶ https://t.co/ri96a3rxxM"
"4","@Gizmodo Don't worry @KevinSpacey, Twitter will make an exception for you."
"5","@BreitbartNews Smdh.. @KevinSpacey has a legitimate medical issue.  It come with pills and everything!  #freespacey"
"6","@natalie_jpf @KevinSpacey Mr. Vali?"
"7","@BilackMamba @NetflixIndia @HouseofCards @KevinSpacey @netflix The guy has serious allegations against him!"
"8","@KevinSpacey  years ago I got a pic of you and Leary signed from The Ref . Terrible times recently and had to sell‚Ä¶ https://t.co/w8vEev13Op"
"9","@JaackNz @KevinSpacey Possibly"
"10","@NetflixIndia What a shame that your team is filming @HouseofCards without the legend @KevinSpacey...  It is  like‚Ä¶ https://t.co/8o4BlirUTg"
"11","#HouseofCards When you're more upset that an actor got canned from a show instead of the fact that he's a sexual pr‚Ä¶ https://t.co/wJUvfQrptO"
"12","@washingtonpost Now we remind them about the equal balance between .@MooreSenate and. @KevinSpacey"
"13","@mypyrlife @KevinSpacey Liberal parents. Or lack thereof."
"14","@htshowbiz @KevinSpacey @RealRobinWright he's the reason anyone wud watch the show, bt hey no one's above the law"
"15","@CBSNews I rather have the allegations facing me NOT @KevinSpacey he does not deserve this torture bring‚Ä¶ https://t.co/62Sr3dfFcP"
"16","With or without @KevinSpacey, I believe that @RealRobinWright is more than capable of leading @HouseofCards final s‚Ä¶ https://t.co/m9TTWPXPTC"
"17","#Netflix you can't have #HouseOfCards without @KevinSpacey ! What kind of fraudulent story line wouldn't involve Fr‚Ä¶ https://t.co/Vmtyj5g1pb"
"18","@netflix continuing #HouseOfCards without @KevinSpacey ? Are you dumb? He IS the show! People don't give a fuck wha‚Ä¶ https://t.co/c7bIChpoBR"
"19","Where is my Kevin!! Just feels so upset.@KevinSpacey https://t.co/IK6EgcdFqr"
"20","Goodbye @KevinSpacey, hello @ChristPlummer. #TrailerTuesday #AllTheMoneyInTheWorld https://t.co/IflC41esFk"
"21","@CUB256 @JohnFugelsang @BillClinton @KevinSpacey Im not saying i dont believe them. Im asking if there was ever a c‚Ä¶ https://t.co/mL87ASrHhV"
"22","@netflix is @kevinspacey #innocent until #proven #guilty  https://t.co/yXZkkpHPVY | if so, will his #character be‚Ä¶ https://t.co/VIk5OBAE77"
"23","@netflix I‚Äôm really pissed off by your @KevinSpacey cut out. He should be judged in Justice not in art. This moral‚Ä¶ https://t.co/6ElftV07je"
"24","@TheView No real comment on Christine Amanpour, although I know she is good &amp; will do well! As for @HouseofCards, i‚Ä¶ https://t.co/SdY4iD1LmC"
"25",".@HouseofCards is gonna be without @KevinSpacey for it‚Äôs final season. Season is about to be trash."
"26","Frank underwood was the man. Sexual predators can't have nice things @KevinSpacey https://t.co/SaK4zfEFtz"
"27","Absolutely #gutted watching the new season of #HouseOfCards without @KevinSpacey ! Not even sure if I wanna watch it though... #letdown"
"28","@abrahamfrost7 @CNN @KevinSpacey @davidfincher Unconfirmed and none of my business. He had a job and he did it well‚Ä¶ https://t.co/324VB4xsCY"
"29","@dannymasterson Our Rape Culture Task Force also includes @HarveyWeinstein, @KevinSpacey, Matt Lauer,‚Ä¶ https://t.co/RM43Gzr0gt"
"30","I love how @netflix will get rid of @dannymasterson and @KevinSpacey but @tvonetv is probably still airing reruns of The Cosby Show..."
"31","@Nyc718212 @yashar @dannymasterson @KevinSpacey Get out of here with that bullshit."
"32","Can Claire Underwood (@RealRobinWright) take over for @KevinSpacey in every role from now on??? #HouseOfCards https://t.co/gYSR2nn4s2"
"33","@yashar @dannymasterson If there‚Äôs any positives from this it‚Äôs that at least he likes women . HE likes WOMEN, the‚Ä¶ https://t.co/nwsCw6GmLe"
"34","@a29981530 @CNN @KevinSpacey @davidfincher True."
"35","@NYDailyNews @dannymasterson @KevinSpacey Outstanding News! Well done @Netlix I wasn't looking forward to cancellin‚Ä¶ https://t.co/lOrCa2hXQp"
"36","@RachieBros Sorry but HoC is Francis J.Underwood.Without Frank,I am affraid it‚Äôs going to be rather dull.Though‚Ä¶ https://t.co/9pWcBmNwnB"
"37","Without @KevinSpacey there is no @HouseofCards"
"38","@HouseofCards #Season6 To Continue Without @KevinSpacey

https://t.co/jiI5cK2Ubs"
"39","@KevinSpacey  starting filming again House of Cards. Is people actually still going to watch this pervert pedophile‚Ä¶ https://t.co/MfFAuVGok5"
"40","HOUSE OF CARDS: Season 6 Shooting Will Begin Without Kevin Spacey But Who Is The New Lead?
read:‚Ä¶ https://t.co/UZYOEJxS9l"
"41","@JenniferDrudge @JohnFugelsang @BillClinton @KevinSpacey Wow, you don‚Äôt believe the women?"
"42","@HouseofCards without @KevinSpacey ?! I may not bother to watch it."
"43","@CUB256 @JohnFugelsang @BillClinton @KevinSpacey The question was...was he charged with rape?"
"44","#Democrats get rid of child molesters and rapists - ie @HarveyWeinstein and @KevinSpacey... 

@GOP circles the wago‚Ä¶ https://t.co/m80Q9ksFpV"
"45","@JenniferDrudge @JohnFugelsang @BillClinton @KevinSpacey Unfortunately, Juanita Broderick didn‚Äôt miss it. She was r‚Ä¶ https://t.co/FiWXpcAnj6"
"46","@netflix Why does @dannymasterson still have a job? Is there a double standard in @KevinSpacey vs. @dannymasterson ?"
"47","@TheAtlantic @edyong209 oh boy, an unconscious patient. don't tell @dannymasterson or @KevinSpacey or other predators that @netflix employs."
"48","@CUB256 @JohnFugelsang @BillClinton @KevinSpacey Thats pretty sad... its dialog like this that causes women to not‚Ä¶ https://t.co/fLJSZQqlKt"
"49","I literally have no interest in another season of ""House of Cards"" without @KevinSpacey .... @netflix"
"50","@HouseofCards without @KevinSpacey ... you have lost a fan !!! #FrankUnderwood #HouseOfCards #Season6"
"51","Another season of @HouseofCards, without @KevinSpacey? No.
@RealRobinWright https://t.co/l2EyFjBuIi"
"52","@JenniferDrudge @JohnFugelsang @BillClinton @KevinSpacey No. Those women were all paid to come forward with phony s‚Ä¶ https://t.co/EnWX0dyYKI"
"53","@facebook 1. @HouseofCards To Continue Without @KevinSpacey https://t.co/UI27ldvsnZ https://t.co/otWqxyWDBI"
"54","Meh. @KevinSpacey still gets his checks from @netflix, like it or not. https://t.co/T8UYPVJRqc"
"55","Well, no @KevinSpacey means no #HouseOfCards for me. Thank you @netflix ..."
"56","#Purged...@netflix Ì†ΩÌ≥∫ reveals that @HouseOfCards Ì†ºÌ∑∫Ì†ºÌ∑∏ will be back in #2018 but with @KevinSpacey firmly out of produc‚Ä¶ https://t.co/VPjmPfpsQ0"
"57","@RNC  other predators need your $$$ too - Matt Lauer, Harvey Weinstein, @POTUS, @KevinSpacey, @BillCosby, #ojsimpson, #catholicpriests"
"58",". @HouseofCards to end without @KevinSpacey
https://t.co/tlMkzhcIYq https://t.co/DjgW4qGK1K"
"59","@CUB256 @JohnFugelsang @BillClinton @KevinSpacey He had 16 women come forward with harrassment allegations includin‚Ä¶ https://t.co/RzKn3EBpT0"
"60","What do you think about @HouseofCards continuing without @KevinSpacey? There's 8 new episodes with Robin Wright as‚Ä¶ https://t.co/7IKr6y5BWS"
"61","@KevinSpacey we love you and @HouseofCards is just piece of shit without you ‚ù§"
"62","@im_sad_so_k @britziboom @KevinSpacey U should judge the work, not the artist tho"
"63","I love how #hollywood gives moral advice while behind the scenes they have been sexually assaulting others. Judge‚Ä¶ https://t.co/2FVWKWYxhf"
"64","@netflix @KevinSpacey @netflix #impeachfrankunderwood not @KevinSpacey. Bring logic #savefrankunderwood then impeac‚Ä¶ https://t.co/tbxeYdHCwK"
"65","@netflix #impeach.underwood not @KevinSpacey. Bring logic #savefrankunderwood then impeach him. @KevinSpacey #take.it.easy.man #the.dude"
"66","@HouseofCards filming will pick back up in 2018 without @KevinSpacey 

https://t.co/ljUSaM7gOL"
"67","@Rosie @StarlitNovember @karenryan2 @KevinSpacey Holy has embraced the sexual predator since the beginning or casti‚Ä¶ https://t.co/FB0x7CLbgk"
"68","I will miss @KevinSpacey...

 #HouseOfCards https://t.co/UWUAIdJbHH"
"69","@Rosie @karenryan2 @KevinSpacey Fuck you Rosie and this statement men of all races of power have dirt watch the R K‚Ä¶ https://t.co/J76alAY50M"
"70","@TMZ @cafemom Looking for investors.A Siri like smart phone app in which Hollywood execs can enter any scenario and‚Ä¶ https://t.co/smo8Md4t6R"
"71","Out of sight but not out of mind ! 
@KevinSpacey !
@HouseofCards to be powered by @RealRobinWright  #HouseOfCards https://t.co/w324DDfTy8"
"72","Expected #HouseOfCards will miss u #President #Frank_Underwoods @KevinSpacey https://t.co/M1Xg6tVhjx"
"73","#HouseOfCards to return for final season without my favorite actor @KevinSpacey . I'm saddened about this, and I fo‚Ä¶ https://t.co/gslD4yrPj2"
"74","Whether they (@netflix) like or not, @KevinSpacey is the heart and soul of House Of Cards. https://t.co/bUWZpZjU42"
"75","@daveweigel Fake pedophilia scandal that alefantis himself probably setup to try and make people think there is no‚Ä¶ https://t.co/2nSoYYe2Mv"
"76","@CNET Not as good without @KevinSpacey he made the show. #turnoff"
"77","@ChasingSpacey That is clear! We all want him at work again! 
#Europe would never destroy an actors life Ì†ΩÌ∏é‚Ä¶ https://t.co/vryiGiENMy"
"78","I would however #donkeypunch @kevinspacey"
"79","TV series @HouseofCards to return without @KevinSpacey ...
https://t.co/bJak457JYn"
"80","TV series @HouseofCards to return without @KevinSpacey ...
https://t.co/ofOG1MLd6T"
"81","@netflix I'm not watching @HouseofCards without @KevinSpacey I will never give netflix my money again."
"82","@BabyDriverMovie was absolutely epic! The best movie I have seen in a while! @AnselElgort, @KevinSpacey &amp; @jonnybernthal were amazing!"
"83","@KevinSpacey Well said, sir. I have always admired your work... Now I simply admire you. Stay strong. :-)"
"84","I‚Äôve just read that @netflix masterpiece @HouseofCards will be without @KevinSpacey in the last season. They don‚Äôt‚Ä¶ https://t.co/DnGyJ7Iqdu"
"85","In an unexpected twist @KevinSpacey doing 
the movie Nine Lives was a great decision. Banked what he could before i‚Ä¶ https://t.co/xpW2dqg1xy"
"86","@KevinSpacey Your shit didn't work"
"87","@ladbible I‚Äôm sorry but @KevinSpacey makes that show. No one will play Frank Underwood like Spacey. Cancel the final season!"
"88","@VishekC @KevinSpacey House of cards without spacey is absolutely bullshit . He is the USP of series"
"89","#TedSarandos (CEO @netflix ) confirms @HouseofCards without @KevinSpacey - #TDH #Digital #News #StreamingMedia
https://t.co/7TvLrv43xj"
"90","@_itsHASAN @someecards @KevinSpacey I'm not thrilled, but I am intrigued. Plus I think that's how the storyline would've went anyway."
"91","@JenniferDrudge @JohnFugelsang @BillClinton @KevinSpacey Last time I checked, Trump had no rape charges against him‚Ä¶ https://t.co/3yniKIRDeV"
"92","@TechCrunch No oooo. @KevinSpacey and @RealRobinWright combo is flawless"
"93","@Variety Sorry, the only reason to watch #HouseOfCards WAS @KevinSpacey. He made the show, it was his journey we were on"
"94","@OzerKhalid @KevinSpacey @RealRobinWright So tired of Frank controlling his wife and not letting her take the reign‚Ä¶ https://t.co/x25fQxoBdO"
"95","@stepnemco @nytimes @KevinSpacey He committed sex crimes at work. He was fired. Bc of his criminal activity. They i‚Ä¶ https://t.co/AHCNFlGG3s"
"96","@EliRay16 IÔ∏è guess @KevinSpacey is busy with other Ì†ΩÌ≤©kari if you know what IÔ∏è mean"
"97","@DominiqueMonai @netflix @KevinSpacey No one said he would be killed off. That was the British version."
"98","@LashaDardagany @HouseofCards @KevinSpacey Yes I love pedophiles too!"
"99","@HouseofCards this whole thing stinks of a conspiracy against @KevinSpacey  by feminazis to hijack the series lead by a woman"
"100","@KevinSpacey So you're not in House of Cards anymore. Alright. I won't see House of cards then. You were the power of this show."
"101","@KevinSpacey @GarlicCorgi Yikes!!!!!!!"
"102","@someecards @ADHashemi I ain't thrilled,  I ain't mad either for removing @KevinSpacey"
"103","@NWPlayer123 @Twitter @KevinSpacey, @alfranken, and @HarveyWeinstein are still here too
It's a bit gross"
"104","@KevinSpacey Nobody is Perfect, please get back in the ring."
"105","@KevinSpacey Why'd y'all crop Bill Cosby out of this photo?"
"106","@KevinSpacey @getfiscal eatin‚Äô ain‚Äôt cheatin‚Äô"
"107","#Netflix confirms the Final Season of @HouseofCards will be led by @RealRobinWright while @KevinSpacey‚Ä¶ https://t.co/mrvSEbOlC6"
"108","@VishekC @KevinSpacey Well said mate. It's funny how Hollywood wants us to think how oblivious it was to such acts‚Ä¶ https://t.co/qcWN5nzDCi"
"109","@CraigRSawyer @KevinSpacey Hey Kevin... I SUGGEST YOU UNDERSTAND... COMPREHEND AND PAY ATTENTION TO @CraigRSawyer !!!!!"
"110","Is this right ? @KevinSpacey @FrankUnderwocd https://t.co/uVnt85equi"
"111","@politicalHEDGE Sick,Disgusting&amp;Perverted The Democrat Party!!

As with @RepJohnConyers @alfranken
@BillClinton Mat‚Ä¶ https://t.co/WvyXdabsBj"
"112","@iamthatiamtoday @CraigRSawyer @KevinSpacey @FBI This is a direct result of having a governing body (President + Ca‚Ä¶ https://t.co/RwHuWQpJcb"
"113","@CraigRSawyer @LizCrokin @KevinSpacey better hope he doesn't get Arkan-cided"
"114","@CUB256 @JohnFugelsang @BillClinton @KevinSpacey If you want to complain about Bill Clinton, then complain about Do‚Ä¶ https://t.co/SolaZXkfxd"
"115","@JohnFugelsang @JenniferDrudge You‚Äôre right - however, @BillClinton is probably as bad a @KevinSpacey, only heterosexual."
"116","@KevinSpacey you're breaking my heart Ì†ΩÌ≤î https://t.co/LFcRsT8uSG"
"117","Am sorry it will be pointless..and all these producers taking a high moral ground on @KevinSpacey , all of em knew‚Ä¶ https://t.co/BQvS3B0xcp"
"118","God! @HouseofCards wanted to see how @KevinSpacey was going to deal with Claire being president now with that endin‚Ä¶ https://t.co/ujyDi5KwH3"
"119","@KevinSpacey is house of cards. 
This is going to be something that looks like house of cards.
@netflix thanks for‚Ä¶ https://t.co/OTb6JETJ13"
"120","@THR Won't be watching the last season then #HouseOfCards Keep @KevinSpacey"
"121","wth @HouseofCards will never be the same without @KevinSpacey https://t.co/Y2NN3qA8Nl"
"122",".@netflix So @KevinSpacey gets the axe in 24 hrs but @dannymasterson gets a free pass on rape? It appears Scientology owns @Netflix as well."
"123","@TheHardLesson @TIME @KevinSpacey He always seemed off-putting to me too.  Something too arrogant about him."
"124","@TheLastLeg #Dickoftheyear. Its a close race between @realDonaldTrump @KevinSpacey and the other hollywood molester‚Ä¶ https://t.co/kxnQDiaYxH"
"125","@ero_sono @Jewelz0727 @KevinSpacey LOL she forgives a sexual predator she doesn't even know, and trying to bang a 1‚Ä¶ https://t.co/UgQlRf3ew5"
"126","@HouseofCards I'm excited to see what Season 6 brings us. While I am sad that @KevinSpacey will no longer be a part‚Ä¶ https://t.co/7QqE1738Le"
"127","Sad to miss @KevinSpacey in final  of #HouseOfCards"
"128","@netflix let @KevinSpacey finish his term #let_frank_finish_his_term #frankunderwood #pussygraber #DonaldTrump #roymoore"
"129","@nytimes @KevinSpacey It‚Äôs the House of Cards not Stranger Things; or a high school! And we watch Woody and Dustin,‚Ä¶ https://t.co/DNb03Yxty3"
"130","@SputnikInt @netflix @KevinSpacey Did they secretly make seasons 6th and 7th somehow? Probably w/ Kevin Spacey and‚Ä¶ https://t.co/uqTkgYe51Y"
"131","@Newsweek @KevinSpacey
has always been Weird ..
Weird Weird .. Ì†ΩÌ±éÌ†ºÌøª"
"132",".@netflix to start @HouseofCards
production in 2018 without @KevinSpacey 
https://t.co/4qThu2NtY9"
"133","@KevinSpacey U have all my supoort, love u, always."
"134","Oh fuck off @MelanieLBBH @KevinSpacey @HarveyWeinstein @realDonaldTrump"
"135","If @KevinSpacey won't be in House of Cards anymore then that show is dead.."
"136","@HeinrichMedau @UNICEF @KevinSpacey @PrisonPlanet lol, I came here looking for Kevin Spacey tweets about kids, had‚Ä¶ https://t.co/VybOSSzxpY"
"137","‚ö° House of CardsI just can't believe that they aren't even trying to prove that he has done it it won't be the same without @KevinSpacey"
"138","@KevinSpacey stay strong Mr Spacey. I'm really enjoying house of cards. I'm on season one and it's been already one‚Ä¶ https://t.co/HroWeexsLq"
"139","Im not watching House of Cards without @KevinSpacey. Its not going to happen. Nope."
"140","Sad we won‚Äôt see @KevinSpacey in #HouseOfCards #Season6 , he was very ‚Äútrue‚Äù to the character. https://t.co/JUrrhzbtyT"
"141","@KevinSpacey might have done something stupid in the past but that doesn‚Äôt change the fact that he‚Äôs still a very g‚Ä¶ https://t.co/CiIgNo0WZS"
"142","It‚Äôs amazing we are supposed to accept @MooreSenate‚Äôs word but wouldn‚Äôt accept @HillaryClinton‚Äôs word, @BillCosby‚Äôs‚Ä¶ https://t.co/V4bHCiMSBP"
"143","@htshowbiz @htTweets @KevinSpacey @RealRobinWright Sad news. Kevin Spacey was the reason I used to watch this show."
"144","@TIME Not surprised. @KevinSpacey is an excellent actor because he‚Äôs an excellent liar. His eyes are two empty, des‚Ä¶ https://t.co/2zMuF2JfAn"
"145","@nytimes And it will TOTALLY fkn suck. Bring back @KevinSpacey"
"146","@VintageVGGeek @GoodwillIntl @KevinSpacey Legit LOL"
"147","@cwr2 @GoodwillIntl Totallt. I had no idea CS Lewis looked like child rapist @KevinSpacey"
"148","Wow Ì†æÌ¥¶Ì†ºÌøΩ‚Äç‚ôÇÔ∏è @KevinSpacey you really a dickhead guy, ruined one of favorite shows https://t.co/hcZ8hHQIT4"
"149","Unless they work for @HarveyWeinstein @KevinSpacey @charlierose &amp; over 90 more prominent progressives https://t.co/yIqZaTzIBM"
"150","The tragedy of @KevinSpacey‚Äôs life and victims has spread to a show many admired, and to the lives of the cast and‚Ä¶ https://t.co/9MCIbwRIzv"
"151",".@netflix to finalize #HouseOfCards with 8th season, without @KevinSpacey https://t.co/ANmrn2rJt2 https://t.co/PB7Fdw1Z6u"
"152","#HouseofCards begins shooting season 6 without @KevinSpacey, @RealRobinWright will be the new lead‚Ä¶ https://t.co/wZkJsOTJYf"
"153","@THR And fuck you @KevinSpacey for ruining a show that I‚Äôve watched since the very first episode. Dick."
"154","House of cards ranks in the top 3 greatest shows I have ever watched. Fuck you @KevinSpacey for ruining the future and success of it"
"155","@netflix why don't you believe the women who are accusing @dannymasterson when you believed those about‚Ä¶ https://t.co/c0LNJD74B8"
"156","@KevinSpacey I love house of cards (best serie ever). However, I won't watch the next season because of the‚Ä¶ https://t.co/VrMiNlzYXx"
